,entity,frequency
166,ouh_research,2
167,annaschuh3,10
168,2025,22
169,kam,1
170,dezember ein neuer bruton,1
171,2014,26
172,2020,122
173,2025,22
174,leucemia linfatica cronica,5
175,è,1
176,prima,3
177,quanto nella malattia,1
178,sll,337
179,535,2
180,cll,1030
181,1l,24
182,90,23
183,0 10 95,1
184,17,47
185,0 001,4
186,1,256
187,obinutuzumab,114
188,2,415
189,3,390
190,rituximab acalabrutinib,2
191,durvalumab rad,2
192,zanubrutinib,5
193,malignancy w ian,1
194,rituximab acalabrutinib,2
195,durvalumab rad,2
196,seemaalibhat1,5
197,4,163
198,della leucemia linfatica cronica con risultati significativi,1
199,mrd negatività,1
200,romana mauro,1
201,17,47
202,762,2
203,2nd,51
204,25 9 month,1
205,2,415
206,an average of,1
207,22 month,2
208,4つの試験データによって,4
209,12 17,1
210,4つの試験データによって,4
211,4つの試験データによって,4
212,4つの試験データによって,4
213,sll,337
214,2x,65
215,sll,337
216,2x,65
217,tagrisso lynparza,1
218,cancer drug,1
219,19,519
220,solidarity,17
221,investigación los datos de acalabrutinib de 4,1
222,linfocítica crónica,26
223,los datos de acalabrutinib de 4,1
224,kinumpirma ng department of health na hindi na gagamitin sa world health organization solidarity,1
225,25 9 month 17,1
226,only seven,1
227,gagamitin sa,2
228,solidarity,17
229,12,77
230,today,361
231,19,519
232,gagamitin sa,2
233,solidarity,17
234,5,90
235,avigan bilang gamot sa covid,1
236,19,519
237,acalabrutinib sa paghanap,1
238,kontra covid 19,1
239,inalis,1
240,sa mga gamot,1
241,kasama sa,1
242,solidarity,17
243,solidarity,17
244,maria rosario,2
245,bilang bahagi,1
246,solidarity,17
247,sa paghanap ng gamot,1
248,para sa,1
249,sll,337
250,2x,65
251,阿卡替尼 孟加拉耀品国际首仿 用于治疗患有套细胞淋巴瘤,1
252,接受calquence治疗的患者有81,2
253,sll,337
254,2x,65
255,los datos de calquence de 4,1
256,2x,65
257,2x,65
258,cll,1030
259,sll,337
260,new2trip 17p,1
261,2x,65
262,don,76
263,this year,54
264,2020,122
265,michael wang,4
266,2x,65
267,monoterapia,4
268,decisivo,1
269,questa patologia l,1
270,nd,1
271,acalabrutinib cardiovascular,1
272,first,477
273,monday 11 january 2021,1
274,sll,337
275,2x,65
276,2020,122
277,dr brown,5
278,england,12
279,four,58
280,4,163
281,3,390
282,ror1inhibitor mdm2inhibitor,1
283,zanubritinib ublituximab loxo305,1
284,4,163
285,aprobación de acalabrutinib,3
286,contra,11
287,linfocítica crónica,26
288,four,58
289,tp53,94
290,cd20,38
291,004,33
292,caramel,2
293,rituximab,139
294,2 2021,1
295,four,58
296,three year,23
297,2020,122
298,today,361
299,ash20,26
300,mshadman md mph,1
301,2,415
302,four,58
303,four,58
304,three year,23
305,four,58
306,sll,337
307,2x,65
308,three year,23
309,762,2
310,less than 1,1
311,three year,23
312,three year,23
313,three year,23
314,sll,337
315,2x,65
316,four,58
317,four,58
318,four,58
319,four,58
320,four,58
321,004,33
322,2,415
323,004,33
324,004,33
325,latestpharmanewsdec7 latestastrazenecanewsdec7,1
326,three year,23
327,3 year,17
328,19,519
329,healthcare,9
330,three year,23
331,2020,122
332,00 00,1
333,johnson,16
334,johnson ash,1
335,three year,23
336,three year,23
337,three year,23
338,three year,23
339,three year,23
340,004,33
341,three year,23
342,305,33
343,52,8
344,this year,54
345,2,415
346,nicola lamanna,1
347,19,519
348,btk inhibitor inc,1
349,christmas,13
350,aprobación de acalabrutinib,3
351,contra,11
352,linfocítica crónica,26
353,la agencia europea de medicamentos ema acaba de aprobar,1
354,el tratamiento de leucemia linfocítica crónica una de las leucemias más,1
355,la terapia deberá,1
356,un,89
357,sll,337
358,aprobación de acalabrutinib,3
359,contra,11
360,linfocítica crónica,26
361,sll,337
362,2x,65
363,dec 7,1
364,2x,65
365,sll,337
366,2x,65
367,2x,65
368,19,519
369,19,519
370,sll,337
371,2x,65
372,19,519
373,1a,3
374,covid19 sarscov2,2
375,2x,65
376,cll,1030
377,sll,337
378,sll,337
379,2x,65
380,2020,122
381,kommt das,1
382,sll,337
383,2x,65
384,2x,65
385,cll,1030
386,sll,337
387,sll,337
388,2x,65
389,2x,65
390,2x,65
391,cll,1030
392,sll,337
393,sll,337
394,2x,65
395,dans,17
396,sll,337
397,2x,65
398,sll,337
399,2x,65
400,sll,337
401,2x,65
402,sll,337
403,2x,65
404,19,519
405,astrazeneca s calquence fail pair,9
406,linfocitica,4
407,sll,337
408,2x,65
409,2020年11月20日,1
410,calavi第ⅱ相試験の最新情報,2
411,が公開 英本社発表抄訳,1
412,呼吸不全未発症の生存患者の割合増加という主要評価項目を達成せず,1
413,eu,180
414,2x,65
415,a 10 to,1
416,1 to 3 day,2
417,19,519
418,2x,65
419,pembrolizumab plus acalabrutinib,3
420,esmo20,2
421,2x,65
422,2x,65
423,2x,65
424,behandlung von chronisch,1
425,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とする,1
426,11 20,1
427,アストラゼネカ株式会社 新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,1
428,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,2
429,calavi第ⅱ相試験の最新情報,2
430,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,2
431,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence calavi第ii相試験の最新情報,1
432,sll,337
433,2x,65
434,19,519
435,astrazeneca s calquence fail pair,9
436,sll,337
437,2x,65
438,sll,337
439,2x,65
440,sll,337
441,2x,65
442,sll,337
443,2x,65
444,19,519
445,astrazeneca s calquence fail pair,9
446,2x,65
447,19,519
448,19,519
449,astrazeneca s calquence fail pair,9
450,first,477
451,november 21,3
452,2x,65
453,2x,65
454,2x,65
455,2x,65
456,2x,65
457,2x,65
458,2x,65
459,cll,1030
460,mdedgehemonc michelenadeemb,1
461,2x,65
462,sll,337
463,2x,65
464,2x,65
465,sll,337
466,2x,65
467,2x,65
468,2x,65
469,2x,65
470,2x,65
471,2x,65
472,19,519
473,oncology news australia,1
474,11 17,1
475,2020年11月17日,1
476,2x,65
477,2x,65
478,sll,337
479,2x,65
480,2x,65
481,2x,65
482,sll,337
483,2x,65
484,astrazeneca s calquence fail pair,9
485,az社btk阻害剤calquenceは,1
486,6遮断薬の中止もあり,1
487,eli,4
488,19,519
489,astrazeneca s calquence fail pair,9
490,two,149
491,ema_news,5
492,astrazeneca s calquence fail covid,8
493,19,519
494,novita nel,1
495,della leucemia linfatica cronica approvato calquence,1
496,iscrizione gratuita alle,1
497,xagena di medicina ematologia,1
498,medicina oncoematologia,1
499,xagena farmacia,1
500,2pm,4
501,jeff,32
502,jim s,1
503,19,519
504,19,519
505,tras la recomendación de la ema la comisión,1
506,un,89
507,kinasa de bruton,1
508,2,415
509,19,519
510,biopharma dive pharmatopnews,1
511,con la vacuna de la covid 19,1
512,contra,11
513,linfocítica crónica la,1
514,los pacientes,7
515,linfocítica crónica,26
516,astrazenaca,1
517,astrazeneca s calquence fail,4
518,19,519
519,first,477
520,la ue aprueba,2
521,linfocítica crónica,26
522,19,519
523,un,89
524,19,519
525,un,89
526,19,519
527,astrazeneca s calquence fail pair,9
528,one,163
529,astrazeneca s calquence fail,4
530,19,519
531,el tratamiento de adultos con leucemia,1
532,linfocítica crónica,26
533,olan ilacı koronavirüs tedavisinde,2
534,koronavirüs hastalarının,2
535,amaçlanan kan kanseri,2
536,la adición del inhibidor btk acalabrutinib,1
537,de la covid,1
538,astrazeneca s calquence fail pair,9
539,ph2b 3,1
540,19,519
541,yahoo,2
542,eu gekeurd,1
543,onder ziekenhuis,1
544,the european union,4
545,az s btk inhibitor calquence,1
546,19,519
547,astrazenca s calquence,2
548,19,519
549,astrazeneca s calquence fail covid,8
550,19,519
551,yahoo,2
552,19,519
553,astrazeneca s calquence fail covid,8
554,19,519
555,11,45
556,2020,122
557,astrazeneca s calquence fail covid,8
558,19,519
559,today,361
560,the white house,1
561,19,519
562,otro anticuerpo,1
563,funciona,1
564,el posicionamiento de astrazeneca sobre,1
565,в качестве потенциального метода лечения,2
566,19,519
567,ilaç şirketi,1
568,tarafından kan kanseri,1
569,kullanılan calquence,1
570,ilacının korona virüs tedavisinde,1
571,olduğu açıklandı,1
572,19,519
573,olan ilacı koronavirüs tedavisinde,2
574,koronavirüs hastalarının,2
575,amaçlanan kan kanseri,2
576,covid haber,1
577,astrazeneca s calquence fail pair,9
578,astrazeneca s calquence fail covid,8
579,19,519
580,astrazeneca s calquence fail covid,8
581,19,519
582,19,519
583,3,390
584,la ue aprueba,2
585,linfocítica crónica,26
586,industria la ue aprueba,1
587,para la,4
588,linfocítica crónica,26
589,kristin jensen,1
590,astrazeneca s calquence fail covid,8
591,astrazeneca s calquence fail covid,8
592,19,519
593,19,519
594,kan,4
595,olduğu,2
596,19,519
597,fda,889
598,awesomecapital astrazeneca s calquence flunk,1
599,19,519
600,kanser,4
601,olduğu,2
602,kovid19,1
603,fda,889
604,astrazeneca s,2
605,6,80
606,roughly 20,1
607,2,415
608,противоракового препарата calquence в лечении,1
609,ковида не оправдалась,1
610,2,415
611,19,519
612,astrazeneca s calquence fail,4
613,1 2,52
614,в качестве потенциального метода лечения,2
615,19,519
616,covid 19,41
617,19,519
618,astrazenca s calquence,2
619,19,519
620,contra,11
621,19,519
622,19,519
623,sfbn fee covid 19,1
624,19,519
625,19,519
626,19,519
627,19,519
628,astrazeneca s calquence flunk,1
629,19,519
630,19,519
631,19,519
632,après,1
633,canakinumab la semaine,1
634,qui,5
635,19,519
636,astrazeneca s calquence fail,4
637,19,519
638,el fármaco,3
639,contra la leucemia calquence desarrollado,1
640,los ensayos,1
641,19,519
642,企業 astrazenecaのbtk阻害剤calquenceがcovid,1
643,astrazeneca s cancer drug fail,1
644,covid 19,41
645,thursday,25
646,企業 astrazenecaのbtk阻害剤calquenceがcovid 19入院患者に無効,1
647,19,519
648,eu,180
649,the european commission,11
650,tumori rari leucemia linfatica cronica,1
651,eu,180
652,la ce aprobó el,1
653,para la,4
654,el linfoma linfocítico pequeño,1
655,monoterapia,4
656,el riesgo de progresión de enfermedad,1
657,europe,61
658,eu,180
659,europe,61
660,one,163
661,eu,180
662,el medicamento,15
663,la sección salud de notimex,1
664,2,415
665,pembrolizumab v pembrolizumab,5
666,tiansterzhang,4
667,england,12
668,eu odobreno,1
669,leucemia linfatica cronica,5
670,nuova,4
671,un farmaco target di,1
672,prima,3
673,sia,2
674,eu,180
675,eu,180
676,eu,180
677,eu,180
678,dans,17
679,eu,180
680,prima,3
681,nella malattia,1
682,europe,61
683,two,149
684,eu s,2
685,eu s,2
686,1 4 l month,1
687,us,45
688,latestpharmanewsnov9 latestastrazenecanewsnov9,1
689,nari,1
690,samiran panda,1
691,the european union,4
692,eu,180
693,eu,180
694,europe,61
695,astrazeneca s btk inhibitor,3
696,europe,61
697,cll,1030
698,european,47
699,eu,180
700,european union,1
701,us,45
702,eu,180
703,eu,180
704,pembrolizumab v pembrolizumab,5
705,pembrolizumab plus acalabrutinib,3
706,richard,11
707,one,163
708,versus zanubrutinib,1
709,american,82
710,at least one,37
711,2,415
712,60,26
713,11,45
714,28 6,1
715,22,20
716,ki67,1
717,1 2 3,2
718,1 3,4
719,36,10
720,richard furman,10
721,pembrolizumab v pembrolizumab,5
722,pembrolizumab plus acalabrutinib,3
723,ci andy,1
724,2020,122
725,3,390
726,richard,11
727,one,163
728,rituximab,139
729,solidarity,17
730,solidarity,17
731,solidarity,17
732,monoterapia,4
733,3,390
734,200,8
735,4 month,3
736,19,519
737,oct 30,1
738,solidarity,17
739,2019,142
740,19,519
741,solidarity,17
742,mt,1
743,hemonctoday oct 7 2020,1
744,19,519
745,pharma india,10
746,india,38
747,oct 21,6
748,が30日開催予定の第二部会にて,1
749,小リンパ球性リンパ腫,2
750,solidarity,17
751,medi3506,4
752,33,6
753,uk,64
754,india pharma,1
755,two,149
756,kakape s,1
757,solidarity,17
758,1,256
759,two week,7
760,1bn,1
761,eu,180
762,2,415
763,pharma india,10
764,india,38
765,oct 21,6
766,19,519
767,pharma india,10
768,india,38
769,oct 21,6
770,pharma india,10
771,india,38
772,oct 21,6
773,maria rosario,2
774,friday,29
775,19,519
776,solidarity,17
777,2019,142
778,19,519
779,pharma india,10
780,india,38
781,moto,1
782,60,26
783,21,22
784,63,8
785,pharma,22
786,india,38
787,october 21,6
788,pharma,22
789,india,38
790,october 21,6
791,morning,18
792,india,38
793,october 21,6
794,march 12,1
795,pharma,22
796,india,38
797,october 21,6
798,pharma india,10
799,october 21,6
800,pharma,22
801,pharma india,10
802,100,50
803,october 21,6
804,today,361
805,6 34,2
806,india,38
807,today,361
808,6 34,2
809,india,38
810,india,38
811,october 21 kpmg,1
812,october 8,1
813,cll,1030
814,pharma india,10
815,india,38
816,october 21 2020,2
817,pharma,22
818,100,50
819,pharma,22
820,india,38
821,oct 21,6
822,pharma india,10
823,october 21 2020,2
824,astrazen launch,1
825,100,50
826,icmrdelhi सरक,1
827,रख,1
828,letsbeatcorona,1
829,mohfw_india coronavirusindia,1
830,19,519
831,btk阻害薬acalabrutinibは日本人の再発,4
832,sll,337
833,日本血液学会2020,4
834,india,38
835,indian,8
836,btk阻害薬acalabrutinibは日本人の再発,4
837,sll,337
838,日本血液学会2020,4
839,19,519
840,btk阻害薬acalabrutinibは日本人の再発,4
841,sll,337
842,日本血液学会2020,4
843,btk阻害薬acalabrutinibは日本人の再発,4
844,sll,337
845,日本血液学会2020,4
846,solidarity,17
847,cll,1030
848,阿卡替尼 适应症 用于治疗患有套细胞淋巴瘤 mantlecell,1
849,接受calquence治疗的患者有81,2
850,cll,1030
851,solidarity,17
852,a few week,2
853,acalabrutinib是一种激酶抑制剂,3
854,acalabrutinib是一种激酶抑制剂,3
855,acalabrutinib是一种激酶抑制剂,3
856,cll,1030
857,najít účinnou,1
858,cll,1030
859,cll,1030
860,1st,83
861,2,415
862,2,415
863,19,519
864,nct04346199,1
865,11,45
866,2020,122
867,1,256
868,ppi,5
869,btk阻害薬acalabrutinibがcll sllを対象に申請,2
870,小リンパ球性リンパ腫 cll,1
871,sll,337
872,を対象に日本で申請していたことがこのほど明らかとなった 同社の国内開発リストに掲載された,1
873,btk阻害薬acalabrutinibがcll sllを対象に申請,2
874,がんナビ 白血病 慢性リンパ性白血病 cll,1
875,sllを対象に申請,3
876,あべ歯科医療ニュースｐｉｃｋup btk阻害薬acalabrutinibがcll sllを対象に申請,1
877,el instituto nacional del cáncer analizó,1
878,para ayudar,2
879,19,519
880,el estudio en notimex,1
881,phd,8
882,john,34
883,md osuccc_james,1
884,19,519
885,19,519
886,19,519
887,sllを対象に申請,3
888,sllを対象に申請,3
889,2020,122
890,19,519
891,hydroxychloroquine remdesivir calquence jakafi,1
892,19,519
893,paolo,16
894,ghia md ph,1
895,september,35
896,cll,1030
897,pembrolizumab v pembrolizumab,5
898,erleneseymour,2
899,kingscollegenhs,3
900,11 16,1
901,annaschuh3 tobyeyre82,1
902,ii,2
903,michael wang,4
904,md michaelwangmd mdandersonnews,1
905,1st,83
906,9,58
907,anna nicole,1
908,annaschuh3,10
909,uplc m m,1
910,bloodcancerawarenessmonth,37
911,at least one,37
912,at least one,37
913,lccc1841,1
914,2,415
915,2,415
916,lymsm,25
917,gc 806,1
918,paolo,16
919,md phd,30
920,cll,1030
921,0f,2
922,3rd,18
923,2021,23
924,0f,2
925,soho2020,10
926,congress soho2020,1
927,soho2020,10
928,paolo,16
929,md phd sanraffaelemi,1
930,cll17,3
931,tp53,94
932,60,26
933,102,4
934,soho2020,10
935,9 8 2020,1
936,china,27
937,6,80
938,italy,5
939,1,256
940,mantle cell,6
941,56,5
942,11 4x6cm,1
943,8,59
944,4x16cm,1
945,1,256
946,43,9
947,rituximab v acalabrutinib,1
948,1 2,52
949,sci,1
950,steve coutre,3
951,acalabrutinib v idelalisib,2
952,2019 1141,1
953,obinutuzumab,114
954,cll pi,1
955,jan burger,9
956,nct04505254,1
957,1600,1
958,australian,14
959,today,361
960,7news,1
961,more than 1 000,3
962,september 1,2
963,sll,337
964,msd_aus,1
965,australian,14
966,sll,337
967,bloodcancerawarenessmonth,37
968,australian,14
969,second,124
970,19,519
971,september 1,2
972,first,477
973,10newsfirst,1
974,versus idelalisib,8
975,312,1
976,2,415
977,001,10
978,pembrolizumab v pembrolizumab,5
979,katsuakimaehara pgrivasmdphd,1
980,2,415
981,pembrolizumab,8
982,fda,889
983,sll,337
984,tiansterzhang,4
985,journalcancer w accompany,1
986,sll,337
987,2,415
988,suivi,1
989,4,163
990,acalabrutinib plus pembrolizumab fail,3
991,first,477
992,acalabrutinib plus pembrolizumab fail,3
993,75,14
994,randomisiert pembrolizumab mit,1
995,ian flinn md,1
996,sarahcannondocs,7
997,jovelle phillips md,1
998,md facp,3
999,acalabrutinib plus pembrolizumab fail,3
1000,estudio revela,1
1001,el medicamento,15
1002,fda,889
1003,la tormenta de citoquinas,4
1004,versus idelalisib,8
1005,14 000 month,1
1006,2010,15
1007,half a billion dollar,1
1008,10,90
1009,al covid los tratamientos,1
1010,3,390
1011,ivermectina mavrilimumab ruxolitinib,1
1012,hidroxicloroquina tocilzumab,1
1013,4,163
1014,obinutuzumab,114
1015,four,58
1016,only three,1
1017,2,415
1018,pembrolizumab,8
1019,astrazenecaus carolporterdnp,1
1020,2,415
1021,pembrolizumab,8
1022,acalabrutinib btk inhibitor,2
1023,ppi,5
1024,us,45
1025,2,415
1026,tiansterzhang,4
1027,2,415
1028,pembrolizumab,8
1029,19,519
1030,meuri,1
1031,the european medicine agency,2
1032,acalabrutinib une,1
1033,laly,1
1034,2019 0565,1
1035,新型コロナウイルス感染症19例の入院患者さんの大多数において有望な臨床効果を示す,2
1036,08 03,1
1037,19,519
1038,19,519
1039,19,519
1040,19,519
1041,19,519
1042,80 percent,5
1043,50 percent,1
1044,fda,889
1045,one,163
1046,zur zulassung al cll,1
1047,dem,7
1048,7 29,3
1049,janssen pharmacyclic s,1
1050,eu,180
1051,eu,180
1052,kann sich hoffnung auf,1
1053,zulassung von zwei krebsmedikamenten,1
1054,europäischen union,1
1055,zulassung von calquence,1
1056,von imfinzi durvalumab empfohlen pharmazie,1
1057,がんナビ 慢性リンパ性白血病 cll,1
1058,ppi,5
1059,ppi,5
1060,あべ歯科医療ニュースｐｉｃｋup,1
1061,acalabrutinibの承認推薦は,1
1062,two,149
1063,first,477
1064,two,149
1065,first,477
1066,eu,180
1067,zenecas,4
1068,eu,180
1069,cll,1030
1070,eu,180
1071,eu,180
1072,eu,180
1073,astrazeneca plc,13
1074,19,519
1075,linfocitica,4
1076,ifnβ1a,1
1077,european,47
1078,european,47
1079,european,47
1080,cd19,92
1081,1st,83
1082,2nd,51
1083,19,519
1084,19,519
1085,aacrcovid,1
1086,19,519
1087,louis staudt,1
1088,nih,31
1089,aacrcovid louis m staudt,1
1090,sarahcannondocs asco,1
1091,congress,25
1092,el medicamento,15
1093,la la proteína,1
1094,quinasa de bruton,1
1095,asocio,1
1096,reducción de las,1
1097,respiratorias y de la respuesta,1
1098,causa la muerte de los enfermos,1
1099,criticos,1
1100,el covid,1
1101,india,38
1102,60,26
1103,140,16
1104,india,38
1105,60,26
1106,140,16
1107,ल ब,1
1108,140,16
1109,60,26
1110,india,38
1111,60,26
1112,140,16
1113,7 17 2020,1
1114,14 000,1
1115,india,38
1116,2,415
1117,covid 19,41
1118,2,415
1119,140,16
1120,india,38
1121,140,16
1122,60,26
1123,more than 40,1
1124,19,519
1125,india,38
1126,60,26
1127,140,16
1128,india,38
1129,60,26
1130,140,16
1131,india,38
1132,60,26
1133,140,16
1134,covid 19,41
1135,الأدوية,1
1136,لعلاج مرضى,1
1137,يعد أحد أكثر,1
1138,19,519
1139,أسترازينيكا,2
1140,أسترازينيكا,2
1141,19,519
1142,19,519
1143,calquence con k de queso,1
1144,ковида,1
1145,19,519
1146,sec,2
1147,daily,35
1148,19,519
1149,19,519
1150,19,519
1151,19,519
1152,covid19,10
1153,lymphoma drug,2
1154,19,519
1155,lymphoma drug,2
1156,19,519
1157,covid19 covid,1
1158,19,519
1159,sll,337
1160,the first quarter of 2020,1
1161,19,519
1162,5 2020,1
1163,9 21 24e,1
1164,china,27
1165,mid 20e,1
1166,kim,3
1167,201,1
1168,19 april 15,1
1169,matthew fowler,1
1170,cancernetwrk caxtx,1
1171,la sua alta efficienza,1
1172,two,149
1173,john,34
1174,sll,337
1175,obinutuzumab,114
1176,3,390
1177,idelalisib rituximab,13
1178,9,58
1179,fda,889
1180,american,82
1181,american,82
1182,john,34
1183,3,390
1184,oncoalert clinical,1
1185,american,82
1186,cllsm lymsm,5
1187,obinutuzumab v chlorambucil obinutuzumab,4
1188,cll2つの試験で有用性,1
1189,three day,5
1190,de astrazenecaes,3
1191,linfocítica los resultados,1
1192,presentaron,1
1193,el congreso,1
1194,19,519
1195,dra adriana scheliga,1
1196,6,80
1197,19,519
1198,6,80
1199,abbv catalyst,1
1200,3,390
1201,2020,122
1202,2021,23
1203,305,33
1204,2,415
1205,001,10
1206,53 month,1
1207,alan skarbnik,3
1208,de progresión recidivante,1
1209,linfocítica crónica,26
1210,2,415
1211,2575,23
1212,sll,337
1213,collab w acertapharma ph1b 2,1
1214,con acalabrutinib rapido,2
1215,19,519
1216,pubblicato su science,1
1217,2575,23
1218,sll,337
1219,el,8
1220,usado,9
1221,contra,11
1222,bloquearía la proteína btk,1
1223,provoca la propagación de la covid 19,1
1224,los casos,1
1225,el perú,1
1226,82,7
1227,18 month,2
1228,48,6
1229,rituximab plus idelalisib,2
1230,eha_hematology,2
1231,1 2,52
1232,dr thomas witzig eha library jun,1
1233,15 2019,1
1234,267449,1
1235,john,34
1236,less than 10,1
1237,4 year,22
1238,idelalisib rituximab,13
1239,17p,159
1240,tp53,94
1241,reapertura de centros,1
1242,la oit,1
1243,de un,1
1244,provoca la propagación,1
1245,acalabrutinib 新型コロナ重症例のサイトカインストーム改善,1
1246,lancet,18
1247,81,17
1248,40,27
1249,gli update presentati ad eha25virtual confermano,1
1250,della leucemia linfatica cronica rendendolo un,1
1251,la parole di,1
1252,tedeschi,1
1253,un,89
1254,de l inhibiteur de btk acalabrutinib,1
1255,chez les,2
1256,congress,25
1257,john,34
1258,001,10
1259,naïve cll,4
1260,caretasencasa la cloroquina la azitromicina,1
1261,el ritonavir y la ivermectina,1
1262,los últimos,3
1263,días,4
1264,el tratamiento de leucemia,1
1265,19に関する薬剤の安全性情報を調べてみました,1
1266,13,24
1267,19,519
1268,atención el,1
1269,severecovid19,1
1270,8 11,1
1271,4 8,1
1272,19,519
1273,19,519
1274,richard r,3
1275,md,24
1276,just a week,2
1277,19,519
1278,los médicos,1
1279,han publicado,1
1280,la proteína btk y,1
1281,052_2020,1
1282,da paolo,1
1283,un,89
1284,sui dati dell,1
1285,nella,3
1286,linfatica cronica,2
1287,mañana,2
1288,con la reactivación económica,1
1289,de un drástico,1
1290,del trabajo,1
1291,la proteína,1
1292,provoca la propagación de la covidー19,1
1293,dr jeff_sharman,5
1294,covidー19,13
1295,19,519
1296,first,477
1297,19,519
1298,fda,889
1299,3,390
1300,19,519
1301,19,519
1302,médicos del hospital walter reed,1
1303,maryland,3
1304,han,4
1305,el medicamento,15
1306,last week,17
1307,only 20,1
1308,acalabrutinib v idelalisib rituximab,1
1309,obinutuzumab v chloorambucil,1
1310,obinutuzmab al,1
1311,jefferies analyst,1
1312,the european union,4
1313,novo,2
1314,el momento,1
1315,el tratamiento,2
1316,la tormenta de citoquinas,4
1317,muy graf señala baselga,1
1318,420,9
1319,day 11,1
1320,12,77
1321,covid 19,41
1322,19,519
1323,healthday,4
1324,19,519
1325,12,77
1326,2020,122
1327,19,519
1328,ellos chile,1
1329,two,149
1330,nuovi dati di fase ii indicano che un,3
1331,ben tollerato ed efficace,3
1332,nella terapia del,3
1333,covid 19,41
1334,nuovi dati di fase ii indicano che un,3
1335,ben tollerato ed efficace,3
1336,nella terapia del,3
1337,covid 19,41
1338,covid 19,41
1339,truxima,2
1340,covid 19,41
1341,6月 11日,1
1342,新型コロナウイルス感染症19例の入院患者さんの大多数において有望な臨床効果を示す,2
1343,de nouvelles données de phase ii,1
1344,un,89
1345,truxima rituximab,2
1346,bien toléré,1
1347,bei rezidivierten refraktären aggressiven,1
1348,los nuevos datos de fase ii,1
1349,indican,1
1350,el régimen de truxima biosimilar de rituximab lenalidomida y,1
1351,el linfoma de células,1
1352,nuovi dati di fase ii indicano che un,3
1353,truxima rituximab,2
1354,ben tollerato ed efficace,3
1355,nella terapia del,3
1356,la tormenta de citoquinas de la covid 19,1
1357,19,519
