,entity,author_name,overall_polarity
132,imbruvica,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Neutral
133,imbruvica,PHARMABOX.IN,Neutral
134,japan,Calgary Herald,Neutral
135,3,Biotech & Tech Stock Focus,Neutral
136,eli,Dr Timos Papagatsias,Neutral
137,eli,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Neutral
138,sll,Paperbirds_Hematology,Neutral
139,0 8,InvestorsObserver,Neutral
140,japan,InvestorsObserver,Neutral
141,japan,Devdiscourse,Neutral
142,imbruvica,****,Neutral
143,today,AstraZenecaUS,Neutral
144,japan,pharmaphorum,Neutral
145,japan,Shifting Wealth,Positive
146,study v imbruvica,dough,Neutral
147,2l,dough,Neutral
148,6575 penny,FinanzLinksRatings,Neutral
149,new york,FinanzLinksRatings,Neutral
150,afx,FinanzLinksRatings,Neutral
151,finanztreff,FinanzLinksRatings,Neutral
152,japan,LifeProNow-Pharma-Research and News,Neutral
153,japan,Josekun,Neutral
154,japan,Kevin Jacobs 🇧🇪 🇵🇱 🇮🇹 🇪🇺,Neutral
155,japan,Golden Casino News,Neutral
156,japan,EIN Presswire: Pharmaceutical Newswire,Neutral
157,astrazeneca plc,Mathan,Neutral
158,japan,Cision News,Neutral
159,japan,Company News HQ,Neutral
160,astrazeneca plc,LiveSquawk,Neutral
161,the european medicine agency review,TYR Kinase papers,Neutral
162,cll,Paperbirds_Hematology,Neutral
163,cadth,CADTH,Neutral
164,first,Toby Eyre,Neutral
165,a quarter,Toby Eyre,Neutral
166,ouh_research,Toby Eyre,Neutral
167,annaschuh3,Toby Eyre,Neutral
168,2025,Top News Corner,Neutral
169,kam,Pharmazeutische Zeitung,Neutral
170,dezember ein neuer bruton,Pharmazeutische Zeitung,Neutral
171,2014,Pharmazeutische Zeitung,Neutral
172,2020,Amar Bhandari,Neutral
173,2025,Industry News Engine,Neutral
174,leucemia linfatica cronica,Medicina e Informazione,Neutral
175,è,Medicina e Informazione,Neutral
176,prima,Medicina e Informazione,Neutral
177,quanto nella malattia,Medicina e Informazione,Neutral
178,sll,CALQUENCE® (acalabrutinib),Neutral
179,535,CALQUENCE® (acalabrutinib),Neutral
180,cll,CALQUENCE® (acalabrutinib),Neutral
181,1l,CALQUENCE® (acalabrutinib),Neutral
182,90,CALQUENCE® (acalabrutinib),Neutral
183,0 10 95,CALQUENCE® (acalabrutinib),Neutral
184,17,CALQUENCE® (acalabrutinib),Neutral
185,0 001,CALQUENCE® (acalabrutinib),Neutral
186,1,"Joseph Cioccio, DO",Neutral
187,obinutuzumab,"Joseph Cioccio, DO",Neutral
188,2,"Joseph Cioccio, DO",Neutral
189,3,"Joseph Cioccio, DO",Neutral
190,rituximab acalabrutinib,CureHuntr,Neutral
191,durvalumab rad,CureHuntr,Neutral
192,zanubrutinib,VJHemOnc,Neutral
193,malignancy w ian,VJHemOnc,Neutral
194,rituximab acalabrutinib,TrialBulletin,Neutral
195,durvalumab rad,TrialBulletin,Neutral
196,seemaalibhat1,OncLive SOSS,Neutral
197,4,Oncology Nursing News,Neutral
198,della leucemia linfatica cronica con risultati significativi,EmatoInfo,Neutral
199,mrd negatività,EmatoInfo,Neutral
200,romana mauro,EmatoInfo,Neutral
201,17,OncLive.com,Neutral
202,762,OncLive.com,Neutral
203,2nd,OncLive.com,Neutral
204,25 9 month,OncLive.com,Neutral
205,2,pharmanewsintel,Neutral
206,an average of,pharmanewsintel,Neutral
207,22 month,pharmanewsintel,Neutral
208,4つの試験データによって,JPubb 日本企業 リリース 医薬品,Neutral
209,12 17,JPubb 日本企業 リリース 医薬品,Neutral
210,4つの試験データによって,PR TIMESビジネス,Neutral
211,4つの試験データによって,PR TIMESニュース,Neutral
212,4つの試験データによって,WMR Tokyo - スタートアップ,Neutral
213,sll,Ashleigh Walls,Neutral
214,2x,Ashleigh Walls,Neutral
215,sll,April Golightly,Neutral
216,2x,April Golightly,Neutral
217,tagrisso lynparza,dough,Neutral
218,cancer drug,jorge,Neutral
219,19,jorge,Neutral
220,solidarity,jorge,Neutral
221,investigación los datos de acalabrutinib de 4,iSanidad,Neutral
222,linfocítica crónica,iSanidad,Neutral
223,los datos de acalabrutinib de 4,iSanidad,Neutral
224,kinumpirma ng department of health na hindi na gagamitin sa world health organization solidarity,Radyo La Verdad 1350,Neutral
225,25 9 month 17,CURE Magazine,Neutral
226,only seven,CURE Magazine,Neutral
227,gagamitin sa,Radyo La Verdad 1350,Neutral
228,solidarity,Radyo La Verdad 1350,Neutral
229,12,Ronald M. Chavin,Neutral
230,today,Ronald M. Chavin,Neutral
231,19,Ronald M. Chavin,Neutral
232,gagamitin sa,UNTV News and Rescue,Positive
233,solidarity,UNTV News and Rescue,Positive
234,5,DZBB Super Radyo,Positive
235,avigan bilang gamot sa covid,DZBB Super Radyo,Positive
236,19,DZBB Super Radyo,Positive
237,acalabrutinib sa paghanap,DZBB Super Radyo,Positive
238,kontra covid 19,DZBB Super Radyo,Positive
239,inalis,Radyo Agila DZEC 1062 Khz,Neutral
240,sa mga gamot,Radyo Agila DZEC 1062 Khz,Neutral
241,kasama sa,Radyo Agila DZEC 1062 Khz,Neutral
242,solidarity,Radyo Agila DZEC 1062 Khz,Neutral
243,solidarity,CNN Philippines,Neutral
244,maria rosario,CNN Philippines,Neutral
245,bilang bahagi,DZBB Super Radyo,Positive
246,solidarity,DZBB Super Radyo,Positive
247,sa paghanap ng gamot,DZBB Super Radyo,Positive
248,para sa,DZBB Super Radyo,Positive
249,sll,This Messy Season Family Blog,Neutral
250,2x,This Messy Season Family Blog,Neutral
251,阿卡替尼 孟加拉耀品国际首仿 用于治疗患有套细胞淋巴瘤,印度孟加拉抗癌药,Neutral
252,接受calquence治疗的患者有81,印度孟加拉抗癌药,Neutral
253,sll,Cook Eat Go,Neutral
254,2x,Cook Eat Go,Neutral
255,los datos de calquence de 4,IM Médico,Neutral
256,2x,Caryn Bailey,Neutral
257,2x,Christi B,Neutral
258,cll,Christi B,Neutral
259,sll,Christi B,Neutral
260,new2trip 17p,Trip Database,Neutral
261,2x,Kami Allen,Neutral
262,don,CALQUENCE® (acalabrutinib),Neutral
263,this year,CALQUENCE® (acalabrutinib),Neutral
264,2020,CALQUENCE® (acalabrutinib),Neutral
265,michael wang,CALQUENCE® (acalabrutinib),Neutral
266,2x,Elizabeth hurt,Negative
267,monoterapia,EmatoInfo,Neutral
268,decisivo,EmatoInfo,Neutral
269,questa patologia l,EmatoInfo,Neutral
270,nd,Benlazar S.M Aminé,Neutral
271,acalabrutinib cardiovascular,Benlazar S.M Aminé,Neutral
272,first,pharmaphorum,Neutral
273,monday 11 january 2021,NICE,Positive
274,sll,Tamara Bowman,Neutral
275,2x,Tamara Bowman,Neutral
276,2020,Benlazar S.M Aminé,Neutral
277,dr brown,Targeted Oncology,Neutral
278,england,Pharma News,Neutral
279,four,Pharma News,Neutral
280,4,NwokeAgulu,Neutral
281,3,Prescient Healthcare Group,Neutral
282,ror1inhibitor mdm2inhibitor,Prescient Healthcare Group,Neutral
283,zanubritinib ublituximab loxo305,Prescient Healthcare Group,Neutral
284,4,OncLive.com,Neutral
285,aprobación de acalabrutinib,Smart Clinical Pharmacology,Positive
286,contra,Smart Clinical Pharmacology,Positive
287,linfocítica crónica,Smart Clinical Pharmacology,Positive
288,four,1stOncology,Neutral
289,tp53,"Joseph Cioccio, DO",Neutral
290,cd20,"Joseph Cioccio, DO",Neutral
291,004,PHARMABOX.IN,Neutral
292,caramel,Toby Eyre,Neutral
293,rituximab,Toby Eyre,Neutral
294,2 2021,Toby Eyre,Neutral
295,four,Investor News,Neutral
296,three year,BrainSights iOS App,Neutral
297,2020,Pharma Top News,Neutral
298,today,SeattleCancerCareAlliance,Neutral
299,ash20,SeattleCancerCareAlliance,Neutral
300,mshadman md mph,SeattleCancerCareAlliance,Neutral
301,2,SeattleCancerCareAlliance,Neutral
302,four,IMPharma News,Neutral
303,four,Biotech & Tech Stock Focus,Neutral
304,three year,Crwe World,Neutral
305,four,Company News HQ,Neutral
306,sll,Anne Sweden,Neutral
307,2x,Anne Sweden,Neutral
308,three year,Pharmacutical Daily,Neutral
309,762,The British Journal of Cardiology,Neutral
310,less than 1,Devdiscourse,Neutral
311,three year,"OTC Dynamics, Inc.",Positive
312,three year,Stock Titan,Neutral
313,three year,Investor News,Neutral
314,sll,Keeping Life Sane,Neutral
315,2x,Keeping Life Sane,Neutral
316,four,"OTC Dynamics, Inc.",Positive
317,four,Shifting Wealth,Positive
318,four,Cision News,Neutral
319,four,AstraZenecaUS,Neutral
320,four,Stock Titan,Neutral
321,004,BiopharmaAsia,Neutral
322,2,Prescient Healthcare Group,Neutral
323,004,PharmaShots - Incisive news in 3 shots,Neutral
324,004,Medicircle.in,Neutral
325,latestpharmanewsdec7 latestastrazenecanewsdec7,Medicircle.in,Neutral
326,three year,1stOncology,Neutral
327,3 year,Shifting Wealth,Positive
328,19,Enosi Life Sciences,Neutral
329,healthcare,Dr Timos Papagatsias,Neutral
330,three year,Wall St. Justin Bieber think.trade💭,Neutral
331,2020,Wall St. Justin Bieber think.trade💭,Neutral
332,00 00,Wall St. Justin Bieber think.trade💭,Neutral
333,johnson,FintechZoom,Neutral
334,johnson ash,FintechZoom,Neutral
335,three year,Company News HQ,Neutral
336,three year,Stock Market News,Neutral
337,three year,Corporate News,Neutral
338,three year,IMPharma News,Neutral
339,three year,Latest News from Business Wire,Neutral
340,004,AstraZenecaUS,Neutral
341,three year,Cision News,Neutral
342,305,Ingrid Glimelius,Neutral
343,52,Ingrid Glimelius,Neutral
344,this year,"Maria Badillo, MSN RN OCN CCRP",Neutral
345,2,"Maria Badillo, MSN RN OCN CCRP",Neutral
346,nicola lamanna,Toby Eyre,Neutral
347,19,Мэрсэдэ́с Bouter LL.M.,Neutral
348,btk inhibitor inc,Мэрсэдэ́с Bouter LL.M.,Neutral
349,christmas,Mostly Harmless,Positive
350,aprobación de acalabrutinib,BIOCIENCIA,Neutral
351,contra,BIOCIENCIA,Neutral
352,linfocítica crónica,BIOCIENCIA,Neutral
353,la agencia europea de medicamentos ema acaba de aprobar,Medscape ES,Neutral
354,el tratamiento de leucemia linfocítica crónica una de las leucemias más,Medscape ES,Neutral
355,la terapia deberá,Medscape ES,Neutral
356,un,Medscape ES,Neutral
357,sll,"Brand Institute, Inc",Neutral
358,aprobación de acalabrutinib,Dr Pablo Marcelo Lombardo,Neutral
359,contra,Dr Pablo Marcelo Lombardo,Neutral
360,linfocítica crónica,Dr Pablo Marcelo Lombardo,Neutral
361,sll,Rebecca Miller,Neutral
362,2x,Rebecca Miller,Neutral
363,dec 7,CALQUENCE® (acalabrutinib),Neutral
364,2x,Mommy's Playbook,Neutral
365,sll,IceCreamStickyFinger,Neutral
366,2x,IceCreamStickyFinger,Neutral
367,2x,Brittany,Neutral
368,19,Inquirer,Neutral
369,19,jovic yee,Neutral
370,sll,Catherine Lewis,Neutral
371,2x,Catherine Lewis,Neutral
372,19,@COVID_Evidence,Neutral
373,1a,@COVID_Evidence,Neutral
374,covid19 sarscov2,@COVID_Evidence,Neutral
375,2x,Home Jobs by MOM,Neutral
376,cll,Home Jobs by MOM,Neutral
377,sll,Home Jobs by MOM,Neutral
378,sll,Angie Agerter,Neutral
379,2x,Angie Agerter,Neutral
380,2020,Gelbe Liste,Neutral
381,kommt das,Gelbe Liste,Neutral
382,sll,icefairy,Neutral
383,2x,icefairy,Neutral
384,2x,Candy Washington,Neutral
385,cll,Candy Washington,Neutral
386,sll,Candy Washington,Neutral
387,sll,Leave The Cannoli,Neutral
388,2x,Leave The Cannoli,Neutral
389,2x,Mafiusa,Neutral
390,2x,Emily Reviews,Neutral
391,cll,Emily Reviews,Neutral
392,sll,Emily Reviews,Neutral
393,sll,Kelly & Alex,Neutral
394,2x,Kelly & Alex,Neutral
395,dans,Haute Autorité de santé,Neutral
396,sll,Cleverly Changing (She/her),Positive
397,2x,Cleverly Changing (She/her),Positive
398,sll,Alexandria,Neutral
399,2x,Alexandria,Neutral
400,sll,Stephanie BeautyBrite Ⓥ,Neutral
401,2x,Stephanie BeautyBrite Ⓥ,Neutral
402,sll,Jennifer Soltys,Neutral
403,2x,Jennifer Soltys,Neutral
404,19,FancyFinancy,Neutral
405,astrazeneca s calquence fail pair,FancyFinancy,Neutral
406,linfocitica,Zazoom Social News,Neutral
407,sll,Kimberly Kong,Neutral
408,2x,Kimberly Kong,Neutral
409,2020年11月20日,a watcher,Neutral
410,calavi第ⅱ相試験の最新情報,a watcher,Neutral
411,が公開 英本社発表抄訳,a watcher,Neutral
412,呼吸不全未発症の生存患者の割合増加という主要評価項目を達成せず,a watcher,Neutral
413,eu,"Amber Koehler, PA-C",Neutral
414,2x,Mariah Moon,Neutral
415,a 10 to,OncLive.com,Neutral
416,1 to 3 day,OncLive.com,Neutral
417,19,OncLive.com,Neutral
418,2x,Erica Valentin,Neutral
419,pembrolizumab plus acalabrutinib,PracticeUpdate,Neutral
420,esmo20,PracticeUpdate,Neutral
421,2x,Amy Smith,Neutral
422,2x,MomGlenz,Neutral
423,2x,Da Vinci - Also follow @OutdoorsyBW,Neutral
424,behandlung von chronisch,Gelbe Liste,Neutral
425,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とする,JPubb 日本企業 リリース 医薬品,Neutral
426,11 20,JPubb 日本企業 リリース 医薬品,Neutral
427,アストラゼネカ株式会社 新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,NEWSRELEA.SE,Neutral
428,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,PR TIMESビジネス,Neutral
429,calavi第ⅱ相試験の最新情報,コロナ vs. AI 最新テクノロジーで感染症に挑む【書籍】,Neutral
430,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence,PR TIMESニュース,Neutral
431,新型コロナウイルス性呼吸器症状を有する入院患者さんを対象とするアカラブルチニブ calquence calavi第ii相試験の最新情報,WMR Tokyo - スタートアップ,Neutral
432,sll,Colin Cesvette,Neutral
433,2x,What's up dearie?,Positive
434,19,BiotechBioPharma,Neutral
435,astrazeneca s calquence fail pair,BiotechBioPharma,Neutral
436,sll,melissa weintraub,Neutral
437,2x,melissa weintraub,Neutral
438,sll,HEATHER | Pink Ninja Blogger,Neutral
439,2x,HEATHER | Pink Ninja Blogger,Neutral
440,sll,Garf,Neutral
441,2x,Garf,Neutral
442,sll,Your Helpful Wendy,Positive
443,2x,Your Helpful Wendy,Positive
444,19,Financial Carnivores,Neutral
445,astrazeneca s calquence fail pair,Financial Carnivores,Neutral
446,2x,My Life is a Journey🇨🇴😷,Neutral
447,19,Swedish Biotech,Neutral
448,19,いつも悩んでる人,Neutral
449,astrazeneca s calquence fail pair,Swedish Biotech,Neutral
450,first,CURE Magazine,Neutral
451,november 21,CURE Magazine,Neutral
452,2x,Wrapped Up N U,Neutral
453,2x,pamelamaynard,Neutral
454,2x,SensiblySara,Neutral
455,2x,The Frugal Navy Wife,Neutral
456,2x,Christine | The Growing Creatives,Neutral
457,2x,The Zamp Camp,Neutral
458,2x,Lori Felix,Neutral
459,cll,Michele Nadeem-Baker,Neutral
460,mdedgehemonc michelenadeemb,Michele Nadeem-Baker,Neutral
461,2x,niecyisms by CLC Studios,Neutral
462,sll,Liz Cleland,Neutral
463,2x,Liz Cleland,Neutral
464,2x,TheYumYumFoodie,Neutral
465,sll,Susie's Reviews,Neutral
466,2x,Susie's Reviews,Neutral
467,2x,Amanda Taylor,Neutral
468,2x,Anne-Marie @ This Mama Cooks! On a Diet,Neutral
469,2x,Shelly Belly,Neutral
470,2x,MissingLynxx,Neutral
471,2x,Krystal 👩🏻‍💻,Neutral
472,19,BiopharmaAsia,Neutral
473,oncology news australia,Oncology News Australia,Neutral
474,11 17,JPubb 日本企業 リリース 医薬品,Neutral
475,2020年11月17日,a watcher,Neutral
476,2x,Kaila Yu,Neutral
477,2x,Olivia Douglass,Neutral
478,sll,Trendy Cyndie Reviewz & Newz,Neutral
479,2x,Trendy Cyndie Reviewz & Newz,Neutral
480,2x,Momma Lew - Food and Fun by Reesa Lewandowski,Neutral
481,2x,Jessica,Neutral
482,sll,Tara Pittman,Neutral
483,2x,Tara Pittman,Neutral
484,astrazeneca s calquence fail pair,Vikesh Gudka,Neutral
485,az社btk阻害剤calquenceは,Evaluate Japan,Neutral
486,6遮断薬の中止もあり,Evaluate Japan,Neutral
487,eli,Evaluate Japan,Neutral
488,19,CarnivoresHealth,Neutral
489,astrazeneca s calquence fail pair,CarnivoresHealth,Neutral
490,two,OncLive.com,Neutral
491,ema_news,OncLive.com,Neutral
492,astrazeneca s calquence fail covid,ECAM Norway,Neutral
493,19,ECAM Norway,Neutral
494,novita nel,Carlo Franzini,Neutral
495,della leucemia linfatica cronica approvato calquence,Carlo Franzini,Neutral
496,iscrizione gratuita alle,Carlo Franzini,Neutral
497,xagena di medicina ematologia,Carlo Franzini,Neutral
498,medicina oncoematologia,Carlo Franzini,Neutral
499,xagena farmacia,Carlo Franzini,Neutral
500,2pm,CURE Magazine,Neutral
501,jeff,CURE Magazine,Neutral
502,jim s,CURE Magazine,Neutral
503,19,Official Page of MonkeyViral.com,Neutral
504,19,PILOTforPULMONARY,Neutral
505,tras la recomendación de la ema la comisión,EL GLOBAL,Neutral
506,un,EL GLOBAL,Neutral
507,kinasa de bruton,EL GLOBAL,Neutral
508,2,Kari Tikkinen,Neutral
509,19,Pharma Top News,Neutral
510,biopharma dive pharmatopnews,Pharma Top News,Neutral
511,con la vacuna de la covid 19,Ester Hernández,Neutral
512,contra,Ester Hernández,Neutral
513,linfocítica crónica la,Ester Hernández,Neutral
514,los pacientes,ecancer en español,Neutral
515,linfocítica crónica,ecancer en español,Neutral
516,astrazenaca,European Pharmaceutical Review,Neutral
517,astrazeneca s calquence fail,Carlo Centemeri,Neutral
518,19,Carlo Centemeri,Neutral
519,first,Paperbirds_Hematology,Neutral
520,la ue aprueba,Salvador S,Neutral
521,linfocítica crónica,Salvador S,Neutral
522,19,Sortiraparis,Neutral
523,un,Sortiraparis,Neutral
524,19,Laurent Pradal,Neutral
525,un,Laurent Pradal,Neutral
526,19,cafepharma,Neutral
527,astrazeneca s calquence fail pair,Pharmaceutical,Neutral
528,one,Serena Tinari,Neutral
529,astrazeneca s calquence fail,Miguel Angel Grullon C.,Neutral
530,19,Miguel Angel Grullon C.,Neutral
531,el tratamiento de adultos con leucemia,Miguel Angel Grullon C.,Neutral
532,linfocítica crónica,Miguel Angel Grullon C.,Neutral
533,olan ilacı koronavirüs tedavisinde,Sosyal Medya,Neutral
534,koronavirüs hastalarının,Sosyal Medya,Neutral
535,amaçlanan kan kanseri,Sosyal Medya,Neutral
536,la adición del inhibidor btk acalabrutinib,@investigando,Neutral
537,de la covid,@investigando,Neutral
538,astrazeneca s calquence fail pair,BioCalifornia,Neutral
539,ph2b 3,Helen Ong,Neutral
540,19,Lyke Lyfe,Neutral
541,yahoo,Takehiko Yoshino,Neutral
542,eu gekeurd,Brainstormer 🇳🇱🇳🇱,Neutral
543,onder ziekenhuis,Brainstormer 🇳🇱🇳🇱,Neutral
544,the european union,OncLive.com,Neutral
545,az s btk inhibitor calquence,Pharmaceutical Market Europe,Neutral
546,19,Pharmaceutical Market Europe,Neutral
547,astrazenca s calquence,PHARMABOX.IN,Neutral
548,19,PHARMABOX.IN,Neutral
549,astrazeneca s calquence fail covid,FiercePharma,Neutral
550,19,FiercePharma,Neutral
551,yahoo,Nikita,Neutral
552,19,MAISA,Neutral
553,astrazeneca s calquence fail covid,R Mandy Alcuria,Neutral
554,19,R Mandy Alcuria,Neutral
555,11,Ronald M. Chavin,Neutral
556,2020,Ronald M. Chavin,Neutral
557,astrazeneca s calquence fail covid,Continental Clinical,Neutral
558,19,Continental Clinical,Neutral
559,today,Endpoints News,Neutral
560,the white house,Endpoints News,Neutral
561,19,WebWire,Neutral
562,otro anticuerpo,Infectotuits,Neutral
563,funciona,Infectotuits,Neutral
564,el posicionamiento de astrazeneca sobre,Infectotuits,Neutral
565,в качестве потенциального метода лечения,ZdravMedInfo,Neutral
566,19,ZdravMedInfo,Neutral
567,ilaç şirketi,Koronavirüs Haber ☣️,Neutral
568,tarafından kan kanseri,Koronavirüs Haber ☣️,Neutral
569,kullanılan calquence,Koronavirüs Haber ☣️,Neutral
570,ilacının korona virüs tedavisinde,Koronavirüs Haber ☣️,Neutral
571,olduğu açıklandı,Koronavirüs Haber ☣️,Neutral
572,19,maybeawriter,Neutral
573,olan ilacı koronavirüs tedavisinde,Siber Gazete,Neutral
574,koronavirüs hastalarının,Siber Gazete,Neutral
575,amaçlanan kan kanseri,Siber Gazete,Neutral
576,covid haber,Siber Gazete,Neutral
577,astrazeneca s calquence fail pair,Kevin Paul Oge,Neutral
578,astrazeneca s calquence fail covid,Dr Timos Papagatsias,Neutral
579,19,Dr Timos Papagatsias,Neutral
580,astrazeneca s calquence fail covid,NewExpressNews,Neutral
581,19,NewExpressNews,Neutral
582,19,"Synergy Healthcare, LLC",Neutral
583,3,"Synergy Healthcare, LLC",Neutral
584,la ue aprueba,Fuerza/Fuerza,Neutral
585,linfocítica crónica,Fuerza/Fuerza,Neutral
586,industria la ue aprueba,Redacción Médica,Neutral
587,para la,Redacción Médica,Neutral
588,linfocítica crónica,Redacción Médica,Neutral
589,kristin jensen,Ben Fidler,Neutral
590,astrazeneca s calquence fail covid,PHARMABOX.IN,Neutral
591,astrazeneca s calquence fail covid,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Neutral
592,19,前田静吾｜海外情報活用コンサルタント　Insights4 Pharma編集長,Neutral
593,19,Nathan Vardi,Neutral
594,kan,HABER3.com 🇹🇷,Neutral
595,olduğu,HABER3.com 🇹🇷,Neutral
596,19,Endpoints News,Neutral
597,fda,Endpoints News,Neutral
598,awesomecapital astrazeneca s calquence flunk,****,Neutral
599,19,****,Neutral
600,kanser,ABC Gazetesi,Neutral
601,olduğu,ABC Gazetesi,Neutral
602,kovid19,ABC Gazetesi,Neutral
